Ord	ODate	wt	TotalValue	ProductName	ProductNumber	color	StandardCost	size	Weight	CreatedBy	EnteredOn	SEntityName	SPNo	SFax	SUrl	sLine1	SLine2	REntityName	RPNo	RFax	RUrl	RLine1	RLine2	SCity	OBranch	DCity	DBranch
8F9737DB-3A86-43CF-B376-B8B09D285796	2023-02-06 18:10:19.3033333	970.70	770374.27	"HL Road Frame - Black, 44"	FR-R92B-44	Black	868.634216308594	44	2.12	System Generated	2023-02-06 18:10:19.3033333	Tailspin Toys (Head Office)	(308) 555-0100	(308) 555-0101	http://www.tailspintoys.com	Shop 38	1877 Mittal Road	Laszlo Gardenier	(215) 555-0100	(215) 555-0101	http://www.microsoft.com/LaszloGardenier/	Unit 6	1739 Matos Lane	Sidhpur	Gujarat	Korba	Chhattisgarh
B432095C-50AD-400E-817C-6734B5292C7B	2023-12-01 22:22:01.6866667	896.17	477032.50	Paint - Red	PA-361R	NULL	0	NULL	NULL	System Generated	2023-12-01 22:22:01.6866667	Tailspin Toys (Head Office)	(308) 555-0100	(308) 555-0101	http://www.tailspintoys.com	Shop 38	1877 Mittal Road	Jai Lamble	(479) 555-0100	(479) 555-0101	http://www.microsoft.com/JaiLamble/	Suite 3	1957 Pena Lane	Mangrulpir	Maharashtra	Mandawa	Rajasthan
8510D99D-A92F-43C0-B9C5-147501FB89A5	2023-12-15 15:44:01.5166667	844.91	825592.00	Lock Nut 13	LN-3824	NULL	0	NULL	NULL	System Generated	2023-12-15 15:44:01.5166667	Tailspin Toys (Head Office)	(308) 555-0100	(308) 555-0101	http://www.tailspintoys.com	Shop 38	1877 Mittal Road	Andris Saulitis	(210) 555-0100	(210) 555-0101	http://www.microsoft.com/AndrisSaulitis/	Unit 28	370 Rallapalli Street	Varanasi	Uttar Pradesh	Mariani	Assam
D0C7E291-6A6D-4466-8DD4-A2C99CCC7970	2023-04-24 09:43:26.3400000	916.60	990477.85	ML Grip Tape	GT-1209	NULL	0	NULL	NULL	System Generated	2023-04-24 09:43:26.3400000	Tailspin Toys (Head Office)	(308) 555-0100	(308) 555-0101	http://www.tailspintoys.com	Shop 38	1877 Mittal Road	"Tailspin Toys (Aceitunas, PR)"	(787) 555-0100	(787) 555-0101	http://www.tailspintoys.com/Aceitunas	Suite 243	328 Bhat Street	Kozhikode	Kerala	Dharmavaram	Andhra Pradesh
EC2100B3-D507-4CA5-AD96-F5A02FF6D51A	2022-10-21 08:56:11.9133333	877.73	288181.22	Lock Nut 12	LN-3816	NULL	0	NULL	NULL	System Generated	2022-10-21 08:56:11.9133333	"Tailspin Toys (Sylvanite, MT)"	(406) 555-0100	(406) 555-0101	http://www.tailspintoys.com/Sylvanite	Shop 245	705 Dita Lane	"Wingtip Toys (Del Valle, TX)"	(210) 555-0100	(210) 555-0101	http://www.wingtiptoys.com/DelValle	Shop 21	1064 Vulpes Street	Mandla	Madhya Pradesh	Ludhiana	Punjab
7D007B5A-0B4F-4972-9848-811F3F2F4A7D	2024-01-15 19:24:00.5133333	913.77	309806.70	Metal Plate 3	MP-4960	NULL	0	NULL	NULL	System Generated	2024-01-15 19:24:00.5133333	"Tailspin Toys (Sylvanite, MT)"	(406) 555-0100	(406) 555-0101	http://www.tailspintoys.com/Sylvanite	Shop 245	705 Dita Lane	Salamans Karklins	(458) 555-0100	(458) 555-0101	http://www.microsoft.com/	Shop 28	1933 Akanksha Road	Proddatur	Andhra Pradesh	Sivakasi	Tamil Nadu
A15F0F55-5724-49A7-9AAF-3CB202CB9099	2023-12-06 13:35:01.0033333	994.44	950559.99	"Road-650 Black, 48"	BK-R50B-48	Black	486.706604003906	48	19.13	System Generated	2023-12-06 13:35:01.0033333	"Tailspin Toys (Sylvanite, MT)"	(406) 555-0100	(406) 555-0101	http://www.tailspintoys.com/Sylvanite	Shop 245	705 Dita Lane	"Wingtip Toys (Orick, CA)"	(209) 555-0100	(209) 555-0101	http://www.wingtiptoys.com/Orick	Unit 301	1612 TunC Avenue	Agra	Uttar Pradesh	Bapatla	Andhra Pradesh
352A0010-33D0-4364-B652-0CB73F3B01E0	2023-02-03 10:21:18.4866667	940.13	307304.21	Rear Derailleur Cage	RC-0291	Silver	0	NULL	NULL	System Generated	2023-02-03 10:21:18.4866667	"Tailspin Toys (Sylvanite, MT)"	(406) 555-0100	(406) 555-0101	http://www.tailspintoys.com/Sylvanite	Shop 245	705 Dita Lane	"Tailspin Toys (Marcell, MN)"	(218) 555-0100	(218) 555-0101	http://www.tailspintoys.com/Marcell	Suite 130	1952 Laramee Street	Tezpur	Assam	Srinivaspur	Karnataka
763EEC25-FFDA-4240-AEC6-6D9BA3F94449	2022-12-27 16:36:16.0333333	825.71	930021.41	"Mountain-500 Silver, 48"	BK-M18S-48	Silver	308.217895507813	48	28.42	System Generated	2022-12-27 16:36:16.0333333	"Tailspin Toys (Sylvanite, MT)"	(406) 555-0100	(406) 555-0101	http://www.tailspintoys.com/Sylvanite	Shop 245	705 Dita Lane	Wingtip Toys (Head Office)	(303) 555-0100	(303) 555-0101	http://www.wingtiptoys.com	Shop 294	1263 Kwak Lane	Vaijapur	Maharashtra	Manvi	Karnataka
F84DC132-9AD2-4319-9EC1-328F88E4EBC7	2023-03-11 11:50:20.5566667	954.88	915115.66	Steerer	SR-2098	NULL	0	NULL	NULL	System Generated	2023-03-11 11:50:20.5566667	"Tailspin Toys (Peeples Valley, AZ)"	(480) 555-0100	(480) 555-0101	http://www.tailspintoys.com/PeeplesValley	Unit 217	1970 Khandke Road	"Wingtip Toys (Alcester, SD)"	(605) 555-0100	(605) 555-0101	http://www.wingtiptoys.com/Alcester	Shop 273	631 Valbe Boulevard	Musabani	Jharkhand	Lumding	Assam
FA3EED1B-00F9-4501-A51D-F1ACC406425D	2023-02-01 16:34:18.7166667	925.04	882608.47	"Road-250 Red, 52"	BK-R89R-52	Red	1518.78637695313	52	15.42	System Generated	2023-02-01 16:34:18.7166667	"Tailspin Toys (Peeples Valley, AZ)"	(480) 555-0100	(480) 555-0101	http://www.tailspintoys.com/PeeplesValley	Unit 217	1970 Khandke Road	"Wingtip Toys (Lynne, FL)"	(239) 555-0100	(239) 555-0101	http://www.wingtiptoys.com/Lynne	Shop 204	167 Kubatova Lane	Purna	Maharashtra	Machilipatnam	Andhra Pradesh
05504A71-E41C-4AE3-904E-E79293AED9F8	2024-02-12 17:41:00.7700000	835.15	376670.35	"Road-550-W Yellow, 38"	BK-R64Y-38	Yellow	713.079772949219	38	17.35	System Generated	2024-02-12 17:41:00.7700000	"Tailspin Toys (Peeples Valley, AZ)"	(480) 555-0100	(480) 555-0101	http://www.tailspintoys.com/PeeplesValley	Unit 217	1970 Khandke Road	"Wingtip Toys (Griswoldville, GA)"	(229) 555-0100	(229) 555-0101	http://www.wingtiptoys.com/Griswoldville	Suite 270	1281 Kalejs Crescent	Jhumri Tilaiya	Jharkhand	Niwai	Uttar Pradesh
F9006DE2-7BEE-4360-85AC-56E70C9662EE	2023-11-28 13:29:00.2366667	955.81	878417.38	ML Touring Seat Assembly	SA-T612	NULL	108.98999786377	NULL	NULL	System Generated	2023-11-28 13:29:00.2366667	"Tailspin Toys (Medicine Lodge, KS)"	(316) 555-0100	(316) 555-0101	http://www.tailspintoys.com/MedicineLodge	Suite 164	967 Riutta Boulevard	Richard Friar	(339) 555-0100	(339) 555-0101	http://www.microsoft.com/RichardFriar/	Shop 21	80 Gupta Avenue	Batala	Punjab	Sumerpur	Uttar Pradesh
9245F453-280C-441B-A9DB-5C51D8C1745B	2024-01-08 19:29:01.6800000	851.58	547470.01	Lock Nut 16	LN-1213	NULL	0	NULL	NULL	System Generated	2024-01-08 19:29:01.6800000	"Tailspin Toys (Medicine Lodge, KS)"	(316) 555-0100	(316) 555-0101	http://www.tailspintoys.com/MedicineLodge	Suite 164	967 Riutta Boulevard	Sani Shasthri	(240) 555-0100	(240) 555-0101	http://www.microsoft.com/	Shop 19	1632 Nghi Street	Amalner	Maharashtra	Rishikesh	Uttarakhand
842B5D44-3165-401E-8483-25203D27536C	2023-03-20 08:45:20.2933333	907.08	511084.60	Thin-Jam Hex Nut 11	HJ-9161	NULL	0	NULL	NULL	System Generated	2023-03-20 08:45:20.2933333	"Tailspin Toys (Medicine Lodge, KS)"	(316) 555-0100	(316) 555-0101	http://www.tailspintoys.com/MedicineLodge	Suite 164	967 Riutta Boulevard	"Tailspin Toys (Hayes Center, NE)"	(308) 555-0100	(308) 555-0101	http://www.tailspintoys.com/HayesCenter	Shop 190	1059 Kamasamudram Avenue	Raghogarh-Vijaypur	Madhya Pradesh	Reengus	Rajasthan
605C3731-B466-4F39-81AA-9201DED39DDD	2023-12-12 13:13:01.1200000	860.51	996437.21	"LL Mountain Frame - Black, 48"	FR-M21B-48	Black	136.785003662109	48	3.00	System Generated	2023-12-12 13:13:01.1200000	"Tailspin Toys (Medicine Lodge, KS)"	(316) 555-0100	(316) 555-0101	http://www.tailspintoys.com/MedicineLodge	Suite 164	967 Riutta Boulevard	Lakshmi Benipal	(209) 555-0100	(209) 555-0101	http://www.microsoft.com/LakshmiBenipal/	Suite 23	1017 Juniskyzy Boulevard	Medininagar (Daltonganj)	Jharkhand	Radhanpur	Gujarat
AC4D4F7B-52FE-4CF4-8E33-0403C613798C	2023-05-25 18:19:01.5666667	962.41	347744.03	LL Mountain Pedal	PD-M282	Silver/Black	17.9776000976563	NULL	218.00	System Generated	2023-05-25 18:19:01.5666667	"Tailspin Toys (Medicine Lodge, KS)"	(316) 555-0100	(316) 555-0101	http://www.tailspintoys.com/MedicineLodge	Suite 164	967 Riutta Boulevard	Neil Farrelly	(215) 555-0100	(215) 555-0101	http://www.microsoft.com/NeilFarrelly/	Suite 17	730 Gungor Boulevard	Sangaria	Rajasthan	Barh	Bihar
22E1B72C-1C5E-406D-B812-FFA38C757144	2022-11-13 16:21:15.8333333	852.08	931131.52	LL Road Pedal	PD-R347	Silver/Black	17.9776000976563	NULL	189.00	System Generated	2022-11-13 16:21:15.8333333	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/Gasport	Unit 176	1674 Skujins Boulevard	Tomo Vidovic	(207) 555-0100	(207) 555-0101	http://www.microsoft.com/	Shop 14	296 Anima Boulevard	Samastipur	Bihar	Shikaripur	Karnataka
CFDD39DD-5846-4142-BCE7-328B7978F8DA	2023-04-13 18:11:22.9100000	846.98	758410.93	"Road-750 Black, 58"	BK-R19B-58	Black	343.649597167969	58	20.79	System Generated	2023-04-13 18:11:22.9100000	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/Gasport	Unit 176	1674 Skujins Boulevard	"Wingtip Toys (Dacono, CO)"	(303) 555-0100	(303) 555-0101	http://www.wingtiptoys.com/Dacono	Shop 54	541 Shergill Street	Sindagi	Karnataka	Arwal	Bihar
316CC746-BA0E-4885-8F9F-2ADE098B0237	2022-12-11 11:15:17.0400000	927.61	965312.02	Thin-Jam Hex Nut 3	HJ-5161	NULL	0	NULL	NULL	System Generated	2022-12-11 11:15:17.0400000	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/Gasport	Unit 176	1674 Skujins Boulevard	"Tailspin Toys (New Baden, IL)"	(217) 555-0100	(217) 555-0101	http://www.tailspintoys.com/NewBaden	Unit 7	98 Cetinkaya Street	Barnala	Punjab	Puri	Odisha
777916DB-AD62-439F-9407-13FFF530B492	2023-11-27 21:46:32.1666667	875.13	562662.25	Hex Nut 11	HN-5162	NULL	0	NULL	NULL	System Generated	2023-11-27 21:46:32.1666667	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/Gasport	Unit 176	1674 Skujins Boulevard	"Wingtip Toys (Dacono, CO)"	(303) 555-0100	(303) 555-0101	http://www.wingtiptoys.com/Dacono	Shop 54	541 Shergill Street	Wanaparthy	Telangana	Sambalpur	Odisha
F3E1C10B-EC19-40CE-BFF9-83C6D21DBDD4	2022-10-27 17:07:15.8466667	890.19	348476.93	Internal Lock Washer 5	LI-1400	NULL	0	NULL	NULL	System Generated	2022-10-27 17:07:15.8466667	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/Gasport	Unit 176	1674 Skujins Boulevard	"Wingtip Toys (Robertsdale, AL)"	(205) 555-0100	(205) 555-0101	http://www.wingtiptoys.com/Robertsdale	Shop 276	1856 Poddar Street	Samalkot	Andhra Pradesh	Balangir	Odisha
