InvNo	Date	Ord	Amount	TaxRate	TAmount	CreatedBy	EnteredOn	Name	CityName	Days	Pnumber	Fax	URL	Line1	Line2	CreatedOn
6E140785-60B8-43F4-8FF8-13EF3543C2CD	2023-01-04 16:15:18.4533333	34B84BE4-06F9-4D41-9A46-B26D153F8D7D	18016.94	2	360.34	System Generated	2023-01-04 16:15:18.4533333	Arijit Bhuiyan	Vadodara	8	(212) 555-0100	(212) 555-0101	http://www.microsoft.com/ArijitBhuiyan/	Shop 15	1758 Naicker Boulevard	2023-01-04 16:15:18.4533333
F88D6016-8E2B-402F-9088-BE5923CA28A0	2024-02-08 22:27:01.7333333	994613AE-4310-45CE-B7C4-379A736235CB	15765.18	4	630.61	System Generated	2024-02-08 22:27:01.7333333	Madhu Dwivedi	Bellampalle	14	(802) 555-0100	(802) 555-0101	http://www.microsoft.com/MadhuDwivedi/	Shop 5	1808 Sagese Crescent	2024-02-08 22:27:01.7333333
0DA9D329-84F1-4F4D-BE3A-D5233C679BBD	2023-12-04 16:55:01.3933333	A269A08E-5037-4941-98E1-7E50AD3C6100	22220.04	4	888.80	System Generated	2023-12-04 16:55:01.3933333	Cong Hoa	Mandsaur	12	(212) 555-0100	(212) 555-0101	http://www.microsoft.com/CongHoa/	Unit 21	580 Poddar Lane	2023-12-04 16:55:01.3933333
8BE3EA26-E6D4-4C70-A28E-7CAFE741976F	2022-11-14 14:13:17.0433333	6A7B6019-6A76-4FEA-94A0-89411ADA7574	11381.06	9	1024.30	System Generated	2022-11-14 14:13:17.0433333	Ida Celma	Batala	13	(319) 555-0100	(319) 555-0101	http://www.microsoft.com/IdaCelma/	Suite 28	893 Habibi Lane	2022-11-14 14:13:17.0433333
620CC6B6-C389-4A0D-B478-A469B78D3972	2024-01-31 13:48:01.9700000	1499510A-F6EA-49F8-A607-A50B4E121495	23139.87	0	0.00	System Generated	2024-01-31 13:48:01.9700000	"Tailspin Toys (Imlaystown, NJ)"	Mira-Bhayandar	13	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Imlaystown	Suite 12	1305 Kaleja Street	2024-01-31 13:48:01.9700000
9DF0D088-86E4-434B-8150-8811D1A03473	2023-11-04 13:48:36.2066667	7E687FC7-56D1-49B8-ADF9-27B1E35C6F51	13306.27	10	1330.63	System Generated	2023-11-04 13:48:36.2066667	"Wingtip Toys (Sarversville, PA)"	Rasipuram	6	(215) 555-0100	(215) 555-0101	http://www.wingtiptoys.com/Sarversville	Shop 55	64 Jaramillo Avenue	2023-11-04 13:48:36.2066667
A5B3259B-31D5-467F-9389-34A68A2EDFAF	2022-11-30 11:28:16.1500000	672EDA93-9670-4B69-B8CE-0CD8B672BAA1	13712.67	6	822.76	System Generated	2022-11-30 11:28:16.1500000	Joel Carrillo	Pallapatti	13	(405) 555-0100	(405) 555-0101	http://www.microsoft.com/JoelCarrillo/	Unit 18	227 Paruchuri Boulevard	2022-11-30 11:28:16.1500000
B04814FE-923D-4E0D-8DC4-CB5736DB0A37	2023-03-10 13:42:23.3200000	B685E1FE-A713-4DAC-9A9F-687AFA654772	17977.16	3	539.31	System Generated	2023-03-10 13:42:23.3200000	Crina Grasu	Vellakoil	14	(308) 555-0100	(308) 555-0101	http://www.microsoft.com/CrinaGrasu/	Shop 14	1538 Lampsa Road	2023-03-10 13:42:23.3200000
E6D7813C-E970-455E-93F1-B72A56201813	2023-03-20 14:05:21.6100000	B171526D-C979-4686-97F1-AC737DF06018	13075.90	6	784.55	System Generated	2023-03-20 14:05:21.6100000	Promita Chattopadhyay	Sanduru	13	(262) 555-0100	(262) 555-0101	http://www.microsoft.com/	Shop 18	688 Julia Crescent	2023-03-20 14:05:21.6100000
A76E4E80-C4DB-472A-AE2D-B8C7EA24DBB6	2024-01-24 17:36:01.7933333	9DE0A53C-162E-4357-BF1E-90CF72C7FD2C	11552.54	2	231.05	System Generated	2024-01-24 17:36:01.7933333	"Tailspin Toys (Roe Park, NY)"	Puranpur	10	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/RoePark	Shop 219	528 Persson Road	2024-01-24 17:36:01.7933333
