ShipmentNo	Ord	ShipmentDate	Amount	ExpectedDeliveryDays	CreatedBy	VehicleNo	EnteredOn	Name	Pnumber	Line1	Line2
A2D6C061-5964-42EF-B89B-01B2F1E87C73	8B301845-835B-4D86-86FB-8B55EACEE6B7	2022-10-27 10:14:15.8900000	13291.69	NULL	System Generated	BBE-0011	2022-10-27 10:14:15.8900000	Tailspin Toys (Head Office)	(308) 555-0100	Shop 38	1877 Mittal Road
FD93406C-6571-4F13-84E0-02950D38151D	90C1E6A2-C0EB-4B84-A2F2-623B2D655C7F	2022-10-16 10:07:26.7266667	16200.86	NULL	System Generated	ABD-0048	2022-10-16 10:07:26.7266667	"Tailspin Toys (Sylvanite, MT)"	(406) 555-0100	Shop 245	705 Dita Lane
32EF4490-58E4-46C9-9DE8-03587A34BB89	5C9F14C5-CC3F-4175-9984-439D32FFCEF8	2022-10-18 13:52:10.5400000	15920.93	NULL	System Generated	DDA-0052	2022-10-18 13:52:10.5400000	"Tailspin Toys (Peeples Valley, AZ)"	(480) 555-0100	Unit 217	1970 Khandke Road
80433E6F-72B9-4E4D-B35C-042BF7E1B164	4DE742F7-830A-49F6-8282-D4CDA3E72C08	2022-10-27 14:28:15.9366667	14574.44	NULL	System Generated	EBC-0044	2022-10-27 14:28:15.9366667	"Tailspin Toys (Medicine Lodge, KS)"	(316) 555-0100	Suite 164	967 Riutta Boulevard
E48AC25C-CBB1-49BC-9A98-048544812A56	05614B76-25A1-41A0-9401-0C34DCD44F53	2022-10-13 14:51:24.6433333	13080.20	NULL	System Generated	ECC-0007	2022-10-13 14:51:24.6433333	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	Unit 176	1674 Skujins Boulevard
6DEF210C-FEBD-4972-80F8-04E2A8F93144	23698CDC-BD8D-4830-BC0E-7F949BC8BF58	2022-10-20 09:28:11.8600000	10708.15	NULL	System Generated	AEC-0047	2022-10-20 09:28:11.8600000	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	Shop 196	483 Raut Lane
357F29ED-27AC-4739-8749-071F251BBBD8	E1410984-8B76-44B2-878B-2EFCD3986EAF	2022-10-18 09:04:10.5200000	21041.77	NULL	System Generated	CAB-0035	2022-10-18 09:04:10.5200000	"Tailspin Toys (Frankewing, TN)"	(423) 555-0100	Shop 27	904 Kellnerova Street
FA0A488F-A841-4A18-9BB9-08F768A1AA57	B13F60E0-AD0E-4888-9421-4A64779BAD54	2022-10-16 16:22:26.4600000	13273.29	NULL	System Generated	ADA-0004	2022-10-16 16:22:26.4600000	"Tailspin Toys (Bow Mar, CO)"	(303) 555-0100	Shop 282	752 Shaker Doust Boulevard
81052F8A-F317-4184-91C7-0A1625D2052F	7258B6ED-20A5-4B37-B143-3464A3C56FC4	2022-10-29 10:40:15.4200000	15346.67	NULL	System Generated	EEB-0033	2022-10-29 10:40:15.4200000	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	Shop 33	25 Kasesalu Street
B2DAF3B8-3AB6-43E3-B60F-0AAC4732D65D	04A50D5F-927A-467D-8E2B-552440F5E1D7	2022-10-18 18:06:10.5500000	18878.21	NULL	System Generated	DEE-0016	2022-10-18 18:06:10.5500000	"Tailspin Toys (Wimbledon, ND)"	(701) 555-0100	Unit 67	372 Joo Lane
1D31C087-1F80-42FC-ADDF-0D1624D6C68B	E813B166-DFF0-4D7E-B3D1-5BF8887D2246	2022-10-16 09:21:26.6466667	24328.43	NULL	System Generated	BBA-0049	2022-10-16 09:21:26.6466667	"Tailspin Toys (Devault, PA)"	(215) 555-0100	Unit 250	1432 Pullela Street
F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	17B234B0-F4AE-4384-B29E-5DA4F093D73F	2022-10-16 10:18:26.6566667	20855.10	NULL	System Generated	CAC-0007	2022-10-16 10:18:26.6566667	"Tailspin Toys (Biscay, MN)"	(218) 555-0100	Suite 67	413 Keskkula Lane
DE658572-A621-40D3-A7B0-10A1A7190D37	CADF5113-8ADF-4611-88FE-B9D2E99B083F	2022-10-27 15:46:15.9266667	23827.21	NULL	System Generated	ACB-0037	2022-10-27 15:46:15.9266667	"Tailspin Toys (Stonefort, IL)"	(217) 555-0100	Suite 185	1492 Shah Road
4B4CD454-22DA-439C-9AB8-149F166E2CD1	DC400622-28D8-40D0-9510-55FAA60460B6	2022-10-25 09:48:12.4866667	21191.37	NULL	System Generated	CDC-0021	2022-10-25 09:48:12.4866667	"Tailspin Toys (Long Meadow, MD)"	(240) 555-0100	Unit 221	151 Vasiljevic Road
6A05950B-70FF-4421-A413-1610BB8C40E4	9FDA596D-3755-4ADF-AA81-5E64F4CD02E7	2022-10-29 09:11:15.4800000	12852.02	NULL	System Generated	AAC-0017	2022-10-29 09:11:15.4800000	"Tailspin Toys (Batson, TX)"	(210) 555-0100	Shop 124	671 Mudigonda Boulevard
383E8440-7866-4C9F-9D27-16143D2122CA	D07FDF07-1DFD-42A8-9731-5AA6ED673380	2022-10-23 12:46:11.6300000	17034.03	NULL	System Generated	DCA-0051	2022-10-23 12:46:11.6300000	"Tailspin Toys (Coney Island, MO)"	(314) 555-0100	Suite 111	27 Vidovic Boulevard
0BB7F7ED-801B-4E00-BE30-16F9F3916E22	C6EA88E4-2966-4463-B951-D5D725B1A2AF	2022-10-24 16:10:12.0033333	15310.02	NULL	System Generated	BDD-0010	2022-10-24 16:10:12.0033333	"Tailspin Toys (East Fultonham, OH)"	(216) 555-0100	Unit 278	224 Hinojosa Road
11F176C4-46CB-4384-AF82-187370F660B8	A77C2C71-5FCD-4DBC-A0B1-50DCD57F33CE	2022-10-20 12:33:11.8200000	18769.27	NULL	System Generated	EAC-0035	2022-10-20 12:33:11.8200000	"Tailspin Toys (Goffstown, NH)"	(603) 555-0100	Unit 166	1822 Gruber Lane
C4037D64-D00F-4DC8-B035-190E57BBE30F	99305F89-8AB1-4237-9007-212C2E684502	2022-10-13 16:26:24.6900000	12682.46	NULL	System Generated	AAD-0024	2022-10-13 16:26:24.6900000	"Tailspin Toys (Lemeta, AK)"	(907) 555-0100	Unit 174	1507 Izmaylov Crescent
CB9C7B08-5540-485D-839B-1924DBD1566F	A69952D3-4F1B-41EA-9839-96C7079EBA13	2022-10-30 08:42:14.2166667	17375.96	NULL	System Generated	AEC-0029	2022-10-30 08:42:14.2166667	"Tailspin Toys (College Place, WA)"	(206) 555-0100	Shop 151	1536 Bhutia Avenue
151104E1-DB3E-404D-9DA3-19F44C910F4B	B4BA6EA4-7F60-4D54-B473-5F846BAD8AAA	2022-10-16 14:42:26.6800000	10786.11	NULL	System Generated	CBC-0039	2022-10-16 14:42:26.6800000	"Tailspin Toys (Tresckow, PA)"	(215) 555-0100	Shop 147	640 Chakraborty Street
0039ACFA-6B8E-452E-9405-1C7A79CE8376	A5AED485-42FE-4BC9-BD88-088728409F4E	2022-10-12 09:23:24.6733333	14100.61	NULL	System Generated	ACC-0098	2022-10-12 09:23:24.6733333	"Tailspin Toys (Ward Ridge, FL)"	(239) 555-0100	Shop 26	73 Berg Crescent
1CA21910-7528-410F-9C59-1C8BD9F83478	4ABC2996-20E5-4C20-8ACD-10661E9E721B	2022-10-29 16:27:15.4033333	21724.29	NULL	System Generated	DEB-0009	2022-10-29 16:27:15.4033333	"Tailspin Toys (Ikatan, AK)"	(907) 555-0100	Unit 300	1467 Chang Lane
0D1FE747-97A6-452A-B7F5-1CBA2BB9C754	A876F95F-7FE6-4EC6-B9BF-DC223A98087A	2022-10-28 15:25:14.6766667	20832.10	NULL	System Generated	BBB-0058	2022-10-28 15:25:14.6766667	"Tailspin Toys (Dundarrach, NC)"	(252) 555-0100	Shop 181	818 Paulet Avenue
6ACEA958-AC2E-464C-B3F9-1D31DB02B81B	4529885E-03F9-4C7D-AC98-3A2A2842B1EC	2022-10-15 10:23:25.6933333	21534.62	NULL	System Generated	EDC-0061	2022-10-15 10:23:25.6933333	"Tailspin Toys (Avenal, CA)"	(209) 555-0100	Shop 37	1143 Caune Crescent
F242CFF7-EFDD-412C-A8A4-1D4F0649754B	F2E3BCC8-6742-4163-9B10-B603E1F6B9C7	2022-10-29 17:32:15.5833333	19128.30	NULL	System Generated	DDE-0062	2022-10-29 17:32:15.5833333	"Tailspin Toys (Hedrick, IA)"	(319) 555-0100	Shop 119	1022 Folliero Street
341BA530-1AC7-4B89-BD25-1D7E51EDC7E0	F4929BD9-8C75-4F5C-A3B5-C52D41C2EDF1	2022-10-24 08:56:11.9500000	18277.47	NULL	System Generated	ACD-0089	2022-10-24 08:56:11.9500000	"Tailspin Toys (Bowlus, MN)"	(218) 555-0100	Shop 13	575 Pandit Crescent
AF5FBDD4-DB7B-44C2-B5A0-1DD4A767A150	3C40EE6A-E2AD-4D8B-A521-3004462C9DFB	2022-10-22 14:44:19.7700000	18051.17	NULL	System Generated	DEB-0080	2022-10-22 14:44:19.7700000	"Tailspin Toys (North Ridge, NY)"	(212) 555-0100	Unit 40	890 Hlouskova Avenue
6576FE7E-95B2-429D-8A9C-1E8A8E8179C2	2A2C72EC-385A-4E08-8D27-D67555C35B12	2022-10-24 12:27:12.0466667	19748.44	NULL	System Generated	CDD-0010	2022-10-24 12:27:12.0466667	"Tailspin Toys (Eulaton, AL)"	(205) 555-0100	Shop 16	1606 Ahmadian Road
34983C42-3807-4011-A1DF-210CAC380813	AEB0D1B3-72A5-4160-8A34-1B1837CED2BD	2022-10-31 12:09:14.3033333	17073.51	NULL	System Generated	BED-0029	2022-10-31 12:09:14.3033333	"Tailspin Toys (Koontzville, WA)"	(206) 555-0100	Suite 144	1907 Naicker Boulevard
688B462F-212A-4CC5-9D4F-21C4CDC64E89	50E141A9-1A8B-41B3-AFD9-3B52F72082B3	2022-10-16 12:57:26.3266667	11967.70	NULL	System Generated	BEE-0062	2022-10-16 12:57:26.3266667	"Tailspin Toys (Lake Stevens, WA)"	(206) 555-0100	Shop 238	1584 Hadrabova Street
0EA21DF9-3209-4AC1-B5EC-21E7BC5D13C3	A7914132-FFFB-4741-848A-029477A76ED4	2022-10-31 09:04:14.2833333	17949.73	NULL	System Generated	AAA-0099	2022-10-31 09:04:14.2833333	"Tailspin Toys (Maypearl, TX)"	(210) 555-0100	Suite 157	1119 Friar Boulevard
0908774D-9054-4149-AB0F-2284EC324076	3356A64F-F6EE-4988-8D7D-38FEBAC47EFD	2022-10-14 13:55:25.6766667	14122.92	NULL	System Generated	DBA-0016	2022-10-14 13:55:25.6766667	"Tailspin Toys (Boyden Arbor, SC)"	(803) 555-0100	Shop 151	799 Karnik Boulevard
1134B5D0-06D1-4C0E-8D0F-24458C3D25BD	7F041567-70AC-4E5B-BB97-2E31B572781D	2022-10-14 14:52:25.6333333	17699.84	NULL	System Generated	BDE-0080	2022-10-14 14:52:25.6333333	"Tailspin Toys (Dallardsville, TX)"	(210) 555-0100	Unit 103	1734 Jovicevic Crescent
61DC7F47-28B4-41C1-AB37-24EDFDAB13E4	110F90C8-5F99-48F1-9CEB-59A13F0A40F7	2022-10-17 09:43:25.9566667	10946.87	NULL	System Generated	CAC-0076	2022-10-17 09:43:25.9566667	"Tailspin Toys (Slanesville, WV)"	(304) 555-0100	Suite 150	1959 Sarma Road
2EE0E78A-4181-45FD-B3DB-261ED9C41CFE	2D75C662-3E26-4555-86E4-7987BFF3F1A1	2022-10-18 10:30:10.5700000	17365.58	NULL	System Generated	DBB-0024	2022-10-18 10:30:10.5700000	"Tailspin Toys (Ekron, KY)"	(270) 555-0100	Shop 2	155 Goransson Lane
C8943562-10BD-4CA2-B1C3-297087A47E39	4EC754C5-90FA-40D0-85CF-AEE18E9895E6	2022-10-25 12:58:12.5033333	14361.69	NULL	System Generated	EAD-0021	2022-10-25 12:58:12.5033333	"Tailspin Toys (Kerby, OR)"	(458) 555-0100	Unit 16	339 Dwivedi Lane
10313B32-43B6-478A-83E8-29B9294A9F12	F30724B8-AAE1-4155-B470-63CE4FB55128	2022-10-16 11:46:26.7600000	23868.75	NULL	System Generated	BBD-0014	2022-10-16 11:46:26.7600000	"Tailspin Toys (Airport Drive, MO)"	(314) 555-0100	Unit 115	232 Abbasi Avenue
982EE649-78FC-4EFD-BC06-2BF172EF874F	DBE1FC9B-E247-4128-A2A1-8142050193A4	2022-10-23 17:53:11.7466667	18937.37	NULL	System Generated	DCC-0038	2022-10-23 17:53:11.7466667	"Tailspin Toys (Diablock, KY)"	(270) 555-0100	Shop 240	282 Barajas Street
FCDE82CC-762F-4FA5-8D11-2C480385810F	72E4A4AA-6F2B-4947-AA33-29A7E339053F	2022-10-13 12:47:24.7133333	24225.62	NULL	System Generated	DED-0067	2022-10-13 12:47:24.7133333	"Tailspin Toys (Impact, TX)"	(210) 555-0100	Unit 249	760 Trung Crescent
BEA71751-963B-4CD1-98E2-2E6192BC7E46	77DA56FD-956C-4980-BD06-BD0F58AD5BC8	2022-10-20 18:04:12.0166667	20550.58	NULL	System Generated	EEC-0021	2022-10-20 18:04:12.0166667	"Tailspin Toys (Olivette, MO)"	(314) 555-0100	Suite 262	1638 Couet Street
C7FA2424-078B-46D7-B720-2F6BA02F656D	50ECC001-BBAA-4E8F-8899-0F49D258CBEE	2022-10-13 17:35:24.6600000	16738.21	NULL	System Generated	BCD-0007	2022-10-13 17:35:24.6600000	"Tailspin Toys (Arietta, NY)"	(212) 555-0100	Unit 61	474 Tran Lane
